Year,Dublin Value,National Value
1975,13137,13254
1976,15342,15564
1977,19055,18754
1978,25745,24082
1979,32005,29387
1980,37822,34967
1981,44456,40167
1982,48886,44060
1983,48169,44448
1984,48819,45419
1985,49166,46542
1986,50891,48256
1987,50864,48151
1988,57994,52450
1989,68393,58178
1990,80749,65541
1991,78715,66914
1992,79200,69264
1993,75539,69883
1994,81993,72732
1995,86671,77994
1996,97058,87202
1997,122036,102222
1998,160699,125302
1999,193526,148521
2000,221724,169191
2001,243095,182863
2002,256109,198087
2003,291646,224567
2004,322628,249191
2005,350891,276221
2006,405957,305637
2007,416225,322634
2008,370495,305269
2009,260170,242033
2010,251629,228268
2011,290668,230303
2012,265633,220415
2013,300466,228216
2014,333720,246378
2015,377741,281432
2016,397676,313483
